componentName,fromTimestamp,maxValue,metricName,minValue,toTimestamp,unit
order-service,2020-09-01T12:35:05.001Z,32.569569347180355,cpu,10.221745977110496,2020-09-01T12:35:15.001Z,percent
order-service,2020-09-01T12:35:05.001Z,63.61873297035916,ram,53.32159538359302,2020-09-01T12:35:15.001Z,percent
order-service,2020-09-01T12:35:15.001Z,36.692792869411555,cpu,12.205336549726804,2020-09-01T12:35:25.001Z,percent
order-service,2020-09-01T12:35:15.001Z,31.798313427346894,ram,21.26600701156897,2020-09-01T12:35:25.001Z,percent
order-service,2020-09-01T12:35:25.001Z,32.84279435582662,cpu,9.128902263944616,2020-09-01T12:35:35.001Z,percent
order-service,2020-09-01T12:35:25.001Z,87.1907564857441,ram,77.13718067476971,2020-09-01T12:35:35.001Z,percent
order-service,2020-09-01T12:35:35.001Z,36.47188093832529,cpu,8.189173900237295,2020-09-01T12:35:45.001Z,percent
order-service,2020-09-01T12:35:35.001Z,61.86485444947182,ram,50.443982366928154,2020-09-01T12:35:45.001Z,percent
order-service,2020-09-01T12:35:45.001Z,39.38624273438593,cpu,16.41198677296113,2020-09-01T12:35:55.001Z,percent
order-service,2020-09-01T12:35:45.001Z,38.984542037552,ram,27.975098751577736,2020-09-01T12:35:55.001Z,percent
order-service,2020-09-01T12:35:55.001Z,38.67073352564628,cpu,12.28509724166284,2020-09-01T12:36:05.001Z,percent
order-service,2020-09-01T12:35:55.001Z,83.37440886939129,ram,72.84767699191625,2020-09-01T12:36:05.001Z,percent
order-service,2020-09-01T12:36:05.001Z,38.51714758157736,cpu,12.410429363242773,2020-09-01T12:36:15.001Z,percent
order-service,2020-09-01T12:36:05.001Z,90.8729843172942,ram,79.56271295249172,2020-09-01T12:36:15.001Z,percent
order-service,2020-09-01T12:36:15.001Z,35.97592276045381,cpu,12.848344899640358,2020-09-01T12:36:25.001Z,percent
order-service,2020-09-01T12:36:15.001Z,33.71211046558462,ram,22.42932918922478,2020-09-01T12:36:25.001Z,percent
order-service,2020-09-01T12:36:25.001Z,40.61848105119517,cpu,12.895460339157928,2020-09-01T12:36:35.001Z,percent
order-service,2020-09-01T12:36:25.001Z,85.1717819043275,ram,74.29794408673538,2020-09-01T12:36:35.001Z,percent
order-service,2020-09-01T12:36:35.001Z,34.916272036787106,cpu,12.439708569929227,2020-09-01T12:36:45.001Z,percent
order-service,2020-09-01T12:36:35.001Z,34.82642144491847,ram,23.70733423215649,2020-09-01T12:36:45.001Z,percent
order-service,2020-09-01T12:36:45.001Z,38.43798314357517,cpu,16.79129706711653,2020-09-01T12:36:55.001Z,percent
order-service,2020-09-01T12:36:45.001Z,87.00519236145705,ram,75.89936121875347,2020-09-01T12:36:55.001Z,percent
order-service,2020-09-01T12:36:55.001Z,38.36336571424678,cpu,12.327996222587489,2020-09-01T12:37:05.001Z,percent
order-service,2020-09-01T12:36:55.001Z,82.52330384616266,ram,72.08121240096838,2020-09-01T12:37:05.001Z,percent
order-service,2020-09-01T12:37:05.001Z,36.93565491779463,cpu,8.062304488418533,2020-09-01T12:37:15.001Z,percent
order-service,2020-09-01T12:37:05.001Z,40.14424999060503,ram,29.758904736193415,2020-09-01T12:37:15.001Z,percent
order-service,2020-09-01T12:37:15.001Z,40.949656983515084,cpu,11.293536330761937,2020-09-01T12:37:25.001Z,percent
order-service,2020-09-01T12:37:15.001Z,74.64832029724424,ram,63.1646692780585,2020-09-01T12:37:25.001Z,percent
order-service,2020-09-01T12:37:25.001Z,42.82424391386936,cpu,13.119279999208521,2020-09-01T12:37:35.001Z,percent
