componentName,fromTimestamp,maxValue,metricName,minValue,toTimestamp,unit
user-service,2020-09-01T12:35:05.001Z,19.83156301693905,cpu,15.36372043920521,2020-09-01T12:35:15.001Z,percent
user-service,2020-09-01T12:35:05.001Z,87.93255914982849,ram,58.65739359527678,2020-09-01T12:35:15.001Z,percent
user-service,2020-09-01T12:35:15.001Z,17.63553703569272,cpu,10.02128551414068,2020-09-01T12:35:25.001Z,percent
user-service,2020-09-01T12:35:15.001Z,93.02710830940795,ram,53.61791148141795,2020-09-01T12:35:25.001Z,percent
user-service,2020-09-01T12:35:25.001Z,17.97440839176984,cpu,13.255525171671772,2020-09-01T12:35:35.001Z,percent
user-service,2020-09-01T12:35:25.001Z,76.86833757836388,ram,50.20601687018785,2020-09-01T12:35:35.001Z,percent
user-service,2020-09-01T12:35:35.001Z,21.85543254997243,cpu,14.973948330314489,2020-09-01T12:35:45.001Z,percent
user-service,2020-09-01T12:35:35.001Z,72.46249730018127,ram,33.61607691769249,2020-09-01T12:35:45.001Z,percent
user-service,2020-09-01T12:35:45.001Z,20.27112821021811,cpu,14.282231265564974,2020-09-01T12:35:55.001Z,percent
user-service,2020-09-01T12:35:45.001Z,79.35378506388854,ram,50.84187860150483,2020-09-01T12:35:55.001Z,percent
user-service,2020-09-01T12:35:55.001Z,19.97015800285862,cpu,10.065060745650225,2020-09-01T12:36:05.001Z,percent
user-service,2020-09-01T12:35:55.001Z,85.75648034438099,ram,45.88306334826062,2020-09-01T12:36:05.001Z,percent
user-service,2020-09-01T12:36:05.001Z,15.85190917873619,cpu,10.236690093589456,2020-09-01T12:36:15.001Z,percent
user-service,2020-09-01T12:36:05.001Z,85.99613296273165,ram,52.72416681322929,2020-09-01T12:36:15.001Z,percent
user-service,2020-09-01T12:36:15.001Z,27.581162634000314,cpu,18.96031964324586,2020-09-01T12:36:25.001Z,percent
user-service,2020-09-01T12:36:15.001Z,81.51737297524146,ram,55.163563490360744,2020-09-01T12:36:25.001Z,percent
user-service,2020-09-01T12:36:25.001Z,28.50803893087125,cpu,19.96678090715953,2020-09-01T12:36:35.001Z,percent
user-service,2020-09-01T12:36:25.001Z,69.68564898381574,ram,32.460671854935896,2020-09-01T12:36:35.001Z,percent
user-service,2020-09-01T12:36:35.001Z,26.090883212935882,cpu,18.27935753347788,2020-09-01T12:36:45.001Z,percent
user-service,2020-09-01T12:36:35.001Z,71.93838790421738,ram,36.40113696905594,2020-09-01T12:36:45.001Z,percent
user-service,2020-09-01T12:36:45.001Z,22.07812758695224,cpu,17.37991257539265,2020-09-01T12:36:55.001Z,percent
user-service,2020-09-01T12:36:45.001Z,63.997438400144354,ram,37.58043333290254,2020-09-01T12:36:55.001Z,percent
